langle,rangle,lsangle,rsangle,lhangle,rhangle,lkangle,rkangle,class
97.38892348,111.1508234,124.5640616,69.08662211,108.4457365,127.019153,91.45484602,93.03566728,0
34.54825267,140.0097075,50.00506364,63.75610521,158.9574117,168.787135,147.3364335,177.7508439,0
34.97577894,103.0781777,72.65662955,67.34906037,174.1864429,173.9821929,143.7295038,174.8354681,0
114.7514213,113.8811006,15.63833699,8.335924192,172.035039,144.617061,172.3146145,155.3853902,0
61.44618538,37.32816067,2.671715258,40.51506657,168.9033173,151.2218623,151.2242024,149.3505223,0
69.14876342,27.67553585,17.59157809,16.86119906,179.4790924,172.6757312,172.3518288,158.4228725,0
6.227576761,88.26464547,26.7022472,177.4851929,173.1032251,171.1935444,172.7498794,158.3196342,0
105.3574287,98.60964827,49.02300107,0.958234065,175.432756,140.1656372,152.7350843,139.6708454,0
0.024577875,38.07685408,19.73448325,23.86578167,164.7979548,172.2888332,177.4571122,176.0394114,0
74.44619427,71.35204359,44.32651449,35.16560748,177.7136113,125.9803392,170.1134069,135.7786834,0
53.36363864,129.4666399,41.54909411,29.50827788,145.9916173,155.4172469,151.4914074,146.9973728,0
98.84732349,44.78298238,16.49428343,27.72301327,134.8264596,126.4382946,120.0600432,145.2756772,0
2.640126206,23.6492662,18.25455214,29.79312293,175.6824649,152.0816836,175.9877679,152.3639255,0
167.6299593,152.8763753,29.04005255,134.3360684,128.9320295,161.8997386,178.1771,171.2951466,0
165.8475844,57.85493278,124.1548359,20.37250602,168.9315906,169.902675,157.3130568,162.6566366,0
178.019544,145.2142857,94.25836581,29.06060433,168.9390696,155.153353,155.7508306,146.8037534,0
31.32233468,113.9305717,16.655666,21.8856294,161.4648221,177.2049329,177.2842594,175.9932398,0
61.58243514,25.4912955,19.51077821,6.827999159,171.4968675,154.014854,154.2452662,151.3805881,0
0.891184553,54.16561048,27.34596339,35.5136929,172.9934047,168.0787003,175.3385306,176.3732068,0
135.9856592,68.24938811,100.2026844,16.12734051,151.7967165,168.2457912,157.811217,124.2430723,0
160.8810939,150.7762957,54.36585088,22.36279874,168.5256946,140.6454065,143.9288693,158.9135426,0
17.25559632,101.2312942,46.53676678,16.52949856,161.5434619,141.9679612,151.158334,143.2107729,0
161.1089036,156.0203207,69.09300355,9.361630698,146.2051189,157.8100259,148.8844848,148.2577508,0
157.1235301,44.77009427,127.2828041,7.15405412,164.4192557,160.5470012,147.623188,152.8530465,0
171.8862096,148.1780612,89.01639412,29.19950385,155.0224144,154.0892535,137.0369383,150.8519506,0
6.473057616,100.2590852,27.35329604,39.01022986,176.2729731,172.1605382,175.3508531,178.7342753,0
43.09648888,121.9923436,22.33101655,23.99070901,173.9833947,165.579852,173.6104579,172.5327313,0
166.9310029,48.18512918,136.5823265,15.47502062,174.0656186,167.8994621,159.9993678,165.5296155,0
148.2796741,158.9971407,73.11251782,18.97666553,168.8413737,153.2983926,152.7538779,145.2453757,0
176.6589628,177.8671701,170.5062671,171.904281,7.627377554,6.398438559,84.46736586,159.1803451,1
163.7343037,157.2240033,16.00865533,16.52003718,143.8144791,179.6612691,152.8980647,163.8991058,1
43.62389111,134.215285,20.22600058,17.02023506,161.1073191,179.4712083,144.7385272,155.40722,1
152.3644897,148.8267895,6.794743684,9.207818575,154.3339861,159.0712629,143.7788777,157.694752,1
139.3590337,163.39003,14.98987306,3.210246784,151.9472155,148.9517065,136.2749708,142.9023184,1
120.977179,129.6235413,14.53242093,2.71549665,139.1656338,145.8880079,107.9944657,129.9181178,1
153.3405649,161.9700279,7.096259799,8.840634558,132.8872028,132.627735,131.7199535,134.3224247,1
162.2629369,158.6284238,1.125181452,2.549367181,161.5960015,145.3454176,142.9487006,155.015482,1
140.9156337,150.6760506,16.95949352,21.16161002,154.6199241,146.8387568,117.6927895,154.8715095,1
155.0617275,157.7469545,0.146897146,29.49774525,152.7002793,174.1923705,146.9059462,161.3328352,1
122.4920527,138.255068,28.64625025,32.98150663,154.1797198,152.2241123,159.4396501,135.83711,1
124.7086889,118.9143819,5.074971717,23.56964301,160.243499,157.1240373,157.3294786,159.3745261,1
169.5911966,156.509165,14.82846202,7.436912798,147.6681309,159.2882712,131.9469571,152.5044719,1
67.2386709,2.539711909,34.35315294,5.525534158,170.2172497,178.0119807,150.157383,166.3601972,1
137.3851096,144.6387898,24.08214263,29.01810696,149.7142693,154.4568214,154.8013317,119.5474468,1
176.7480701,152.6360268,12.63647282,9.820148104,165.8613419,171.1585159,160.9017102,164.0154598,1
147.8150384,146.4179735,9.103736053,17.8467594,149.9904162,155.9798765,147.2367827,137.9958117,1
170.8327497,164.4324388,13.37649795,3.849351272,158.6883798,176.6762088,148.4278172,156.9227071,1
99.69112242,17.09374313,36.42389518,19.34242798,176.0240977,159.3289094,167.976404,173.7047991,1
145.7996433,146.6556912,23.89124837,25.29149026,145.506912,154.685236,143.6586073,127.4000256,1
137.1526835,136.4532288,18.58702595,26.78912033,152.1801945,159.1549416,155.9702378,160.4342531,1
142.665063,145.5657813,13.62957378,26.73549177,157.4861108,163.8128761,169.3408401,148.6552607,1
142.1766978,152.7695626,27.89320105,35.35792137,146.4880805,150.7644073,150.0793923,165.9196991,1
81.04382084,37.42439208,34.51612032,24.8621081,174.1758586,171.521981,158.121633,170.3883285,1
100.0775121,101.3304409,32.79440581,57.15591582,144.1851374,119.8157618,136.417562,141.6341511,1
168.1469421,165.3380584,7.073604331,15.83849697,158.696759,137.9770799,135.685119,143.3881907,1
88.65117794,126.574208,35.72956983,41.24776475,153.8270692,157.6534624,156.8983054,157.201682,1
88.16977221,136.5510012,2.01464252,19.36302678,172.288238,151.6767275,154.4256184,154.3588176,1
148.6780965,160.6852633,15.76435801,44.14536424,155.9743837,162.799045,161.2638362,154.2894581,1
124.1226387,137.5163299,51.5912141,44.19086222,140.068177,133.9328772,140.690596,125.5837613,1
83.99939636,83.08292024,13.43845965,36.21964547,165.1889183,153.5894508,142.9462915,157.8295931,1
178.0112881,169.0060991,12.91725619,160.9566094,178.6223846,174.9163441,157.6704113,175.1889286,1
129.8484778,140.9979429,46.75476889,46.23126126,143.6817993,143.4312582,144.1704922,135.6595821,1
154.8841191,132.8163171,104.9939481,79.36362713,138.7939006,146.5685579,159.2510003,155.525861,1
148.0028826,176.3580659,2.163174509,23.75129943,164.1275034,156.230938,151.4490784,159.004808,1
178.2269573,118.976835,128.4510127,115.1454218,137.0288849,88.88225387,170.8100509,169.577744,2
143.1044473,118.4691733,51.62571199,151.5667078,177.4232801,172.80602,176.5848683,172.8731529,2
